Input,Ambient,Flow,Radiation
16.1,21,0,8.24E-06
16.1,21,0,8.45E-06
16.1,21,0,8.66E-06
16.1,21,0,8.88E-06
16.1,21.1,0,9.10E-06
16.11,21.1,0,9.33E-06
16.12,21,0,9.56E-06
16.13,21.1,0,9.80E-06
16.14,21,0,1.00E-05
16.15,21,0,1.03E-05
16.16,21,0,1.05E-05
16.17,21,0,1.08E-05
16.18,21.1,0,1.11E-05
16.19,21,0,1.14E-05
16.2,21.1,0,1.16E-05
16.19,21.1,0,1.19E-05
16.18,21.1,0,1.22E-05
16.17,21.1,0,1.25E-05
16.16,21.1,0,1.28E-05
16.15,21.1,0,1.31E-05
16.14,21.1,0,1.35E-05
16.13,21,0,1.38E-05
16.12,21.1,0,1.41E-05
16.11,21.1,0,1.45E-05
16.1,21.1,0,1.48E-05
16.1,21,0,1.52E-05
16.1,21,0,1.55E-05
16.1,21,0,1.59E-05
16.1,21.1,0,1.63E-05
16.1,21.1,0,1.67E-05
16.1,21.1,0,1.71E-05
16.1,21.1,0,1.75E-05
16.1,21.1,0,1.79E-05
16.1,21.1,0,1.84E-05
16.1,21.1,0,1.88E-05
16.08,21.1,0,1.93E-05
16.06,21.1,0,1.97E-05
16.04,21.1,0,2.02E-05
16.02,21.1,0,2.07E-05
16,21.2,0,2.12E-05
15.98,21.2,0,2.17E-05
15.96,21.2,0,2.22E-05
15.94,21.2,0,2.27E-05
15.92,21.3,0,2.33E-05
15.9,21.2,0,2.38E-05
15.84,21.3,0,2.44E-05
15.78,21.3,0,2.49E-05
15.72,21.3,0,2.55E-05
15.66,21.3,0,2.61E-05
15.6,21.3,0,2.67E-05
15.54,21.2,0,2.74E-05
15.48,21.2,0,2.80E-05
15.42,21.2,0,2.87E-05
15.36,21.1,0,2.93E-05
15.3,21.1,0,3.00E-05
15.29,21.1,0,3.07E-05
15.28,21.2,0,3.14E-05
15.27,21.2,0,3.22E-05
15.26,21.2,0,3.29E-05
15.25,21.1,0,3.37E-05
15.24,21.1,0,3.44E-05
15.23,21.1,0,3.52E-05
15.22,21,0,3.60E-05
15.21,21,0,3.69E-05
15.2,20.9,0,3.77E-05
15.2,20.9,0,3.86E-05
15.2,20.9,0,3.95E-05
15.2,20.9,0,4.04E-05
15.2,20.9,0,4.13E-05
15.2,20.9,0,4.22E-05
15.2,20.9,0,4.32E-05
15.2,20.8,0,4.42E-05
15.2,20.8,0,4.52E-05
15.2,20.8,0,4.62E-05
15.2,20.8,0,4.72E-05
15.18,20.8,0,4.83E-05
15.16,20.7,0,4.94E-05
15.14,20.7,0,5.05E-05
15.12,20.7,0,5.16E-05
15.1,20.7,0,5.28E-05
15.08,20.7,0,5.40E-05
15.06,20.7,0,5.52E-05
15.04,20.7,0,5.64E-05
15.02,20.7,0,5.77E-05
