Input,Ambient,Flow,Radiation
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16.1,0,1.18E+01
18,16,0,1.18E+01
18,16.1,0,1.18E+01
18,16.1,0,1.18E+01
18,16.2,0,1.18E+01
18,16.1,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.1,0,1.18E+01
18,16.2,0,1.18E+01
18,16.1,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.3,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16,0,1.18E+01
18,16.1,0,1.18E+01
18,16,0,1.18E+01
18,15.8,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.6,0,1.18E+01
18,15.6,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.6,0,1.18E+01
18,15.6,0,1.18E+01
18,15.4,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.6,0,1.18E+01
18,15.6,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.6,0,1.18E+01
18,15.5,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.3,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.5,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.3,0,1.18E+01
18,15.3,0,1.18E+01
18,15.2,0,1.18E+01
18,15.3,0,1.18E+01
18,15.3,0,1.18E+01
18,15.3,0,1.18E+01
18,15.3,0,1.18E+01
18,15.3,0,1.18E+01
18,15.3,0,1.18E+01
18,15.3,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.4,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.4,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.5,0,1.18E+01
18,15.6,0,1.18E+01
18,15.6,0,1.18E+01
18,15.7,0,1.18E+01
18,15.6,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.6,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.7,0,1.18E+01
18,15.8,0,1.18E+01
18,15.7,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,16,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,16.1,0,1.18E+01
18,15.9,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,15.9,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,16,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,16,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,15.8,0,1.18E+01
18,15.8,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,15.8,0,1.18E+01
18,15.9,0,1.18E+01
18,15.9,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16.1,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16.1,0,1.18E+01
18,16.1,0,1.18E+01
18,16,0,1.18E+01
18,16,0,1.18E+01
18,16.1,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.3,0,1.18E+01
18,16.2,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.4,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.4,0,1.18E+01
18,16.4,0,1.18E+01
18,16.4,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.4,0,1.18E+01
18,16.4,0,1.18E+01
18,16.4,0,1.18E+01
18,16.4,0,1.18E+01
18,16.3,0,1.18E+01
18,16.4,0,1.18E+01
18,16.4,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.3,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.2,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.4,0,1.18E+01
18,16.4,0,1.18E+01
18,16.4,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.4,0,1.18E+01
18,16.4,0,1.18E+01
18,16.4,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.3,0,1.18E+01
18,16.4,0,1.18E+01
18,16.4,0,1.18E+01
18,16.4,0,1.18E+01
