Input,Ambient,Flow,Radiation
16.28,20.2,0,1.40E+01
16.26,20.2,0,1.40E+01
16.24,20.2,0,1.40E+01
16.22,20.1,0,1.40E+01
16.2,20.1,0,1.40E+01
16.18,20.2,0,1.40E+01
16.16,20.1,0,1.40E+01
16.14,20.1,0,1.40E+01
16.12,20.1,0,1.40E+01
16.1,20.1,0,1.40E+01
16.07,20.1,0,1.40E+01
16.04,20.1,0,1.40E+01
16.01,20.1,0,1.40E+01
15.98,20.1,0,1.40E+01
15.95,20.1,0,1.40E+01
15.92,20.1,0,1.40E+01
15.89,20.1,0,1.40E+01
15.86,20.1,0,1.40E+01
15.83,20.1,0,1.40E+01
15.8,20,0,1.40E+01
15.78,20.1,0,1.40E+01
15.76,20.1,0,1.40E+01
15.74,20.1,0,1.40E+01
15.72,20.1,0,1.40E+01
15.7,20.1,0,1.40E+01
15.68,20,0,1.40E+01
15.66,20,0,1.40E+01
15.64,20,0,1.40E+01
15.62,20,0,1.40E+01
15.6,20,0,1.40E+01
15.6,20,0,1.40E+01
15.6,20,0,1.40E+01
15.6,19.9,0,1.40E+01
15.6,19.9,0,1.40E+01
15.6,19.9,0,1.40E+01
15.6,19.9,0,1.40E+01
15.6,19.9,0,1.40E+01
15.6,19.9,0,1.40E+01
15.6,19.9,0,1.40E+01
15.6,19.9,0,1.40E+01
15.59,19.9,0,1.40E+01
15.58,19.9,0,1.40E+01
15.57,19.9,0,1.40E+01
15.56,19.9,0,1.40E+01
15.55,19.9,0,1.40E+01
15.54,20,0,1.40E+01
15.53,19.9,0,1.40E+01
15.52,19.9,0,1.40E+01
15.51,19.9,0,1.40E+01
15.5,19.9,0,1.40E+01
15.49,19.9,0,1.40E+01
15.48,19.8,0,1.40E+01
15.47,19.9,0,1.40E+01
15.46,19.9,0,1.40E+01
15.45,19.8,0,1.40E+01
15.44,19.8,0,1.40E+01
15.43,19.8,0,1.40E+01
15.42,19.8,0,1.40E+01
15.41,19.8,0,1.40E+01
15.4,19.8,0,1.40E+01
15.39,19.7,0,1.40E+01
15.38,19.7,0,1.40E+01
15.37,19.7,0,1.40E+01
15.36,19.7,0,1.40E+01
15.35,19.7,0,1.40E+01
15.34,19.7,0,1.40E+01
15.33,19.7,0,1.40E+01
15.32,19.6,0,1.40E+01
15.31,19.6,0,1.40E+01
15.3,19.7,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.5,0,1.40E+01
15.3,19.5,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.5,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.6,0,1.40E+01
15.3,19.7,0,1.40E+01
15.3,19.7,0,1.40E+01
15.29,19.7,0,1.40E+01
15.28,19.7,0,1.40E+01
15.27,19.7,0,1.40E+01
15.26,19.7,0,1.40E+01
15.25,19.8,0,1.40E+01
15.24,19.8,0,1.40E+01
15.23,19.8,0,1.40E+01
15.22,19.8,0,1.40E+01
15.21,19.8,0,1.40E+01
15.2,19.8,0,1.40E+01
15.19,19.8,0,1.40E+01
15.18,19.8,0,1.40E+01
15.17,19.8,0,1.40E+01
15.16,19.8,0,1.40E+01
15.15,19.8,0,1.40E+01
15.14,19.9,0,1.40E+01
15.13,19.9,0,1.40E+01
15.12,19.9,0,1.40E+01
15.11,19.9,0,1.40E+01
15.1,19.8,0,1.40E+01
15.1,19.8,0,1.40E+01
15.1,19.8,0,1.40E+01
15.1,19.8,0,1.40E+01
15.1,19.7,0,1.40E+01
15.1,19.7,0,1.40E+01
15.1,19.7,0,1.40E+01
15.1,19.7,0,1.40E+01
15.1,19.7,0,1.40E+01
