high,low,radiation
25,13,23.7
26,15,22
26,15,20.1
28,15,17.6
26,15,15.1
26,15,14.2
30,16,15
27,16,18.1
27,17,20.7
22,16,22.1
25,16,23.7
23,17,23.9
21,16,
26,16,
25,15,
28,15,
27,18,
26,16,
27,17,
25,15,
25,13,
20,13,
22,15,
25,15,
25,15,
25,15,
25,15,
21,15,
20,15,
21,15,
25,15,
25,15,
25,16,
25,15,
20,15,
18,13,
23,12,
25,10,
25,12,
25,15,
23,15,
22,15,
18,11,
22,12,
25,13,
25,17,
26,16,
26,16,
25,16,
26,17,
25,16,
26,15,
26,15,
22,15,
20,13,
22,15,
23,15,
22,13,
23,15,
23,15,
22,12,
25,15,
23,13,
22,11,
23,10,
25,13,
25,15,
23,13,
20,15,
21,15,
23,12,
21,15,
23,15,
20,13,
21,11,
23,15,
21,12,
20,11,
20,11,
21,10,
21,11,
25,13,
23,12,
25,12,
25,12,
25,15,
25,13,
25,11,
23,11,
25,12,
22,13,
23,12,
22,11,
21,8,
22,11,
25,13,
21,12,
23,7,
22,11,
23,10,
23,10,
25,15,
23,13,
18,11,
23,10,
23,10,
23,8,
23,15,
25,15,
25,15,
15,8,
17,8,
20,6,
20,8,
21,11,
20,8,
20,3,
21,10,
25,15,
23,13,
20,11,
17,10,
15,10,
21,6,
22,10,
18,10,
20,10,
20,6,
15,7,
16,5,
17,6,
18,10,
18,7,
16,8,
17,6,
16,10,
15,5,
17,2,
20,6,
18,5,
15,6,
17,7,
20,7,
18,10,
20,8,
20,10,
20,6,
20,10,
20,11,
18,5,
16,5,
16,5,
20,5,
18,11,
20,10,
20,7,
20,11,
20,5,
12,7,
13,6,
10,6,
10,7,
15,3,
16,6,
20,10,
20,8,
16,10,
17,7,
18,6,
16,7,
15,6,
16,6,
17,10,
15,7,
12,5,
15,3,
11,-1,
13,0,
15,3,
13,0,
12,0,
15,3,
13,0,
13,5,
10,0,
12,3,
13,5,
15,3,
15,3,
17,5,
20,5,
16,5,
15,6,
16,5,
12,1,
13,-1,
13,-3,
15,0,
15,2,
16,2,
15,0,
15,2,
13,3,
13,1,
10,-2,
11,-2,
13,1,
15,2,
15,2,
15,6,
16,5,
17,5,
10,1,
11,1,
15,5,
17,6,
20,7,
21,10,
20,5,
20,7,
20,6,
21,10,
21,10,
20,11,
15,2,
15,0,
17,5,
17,5,
15,3,
15,5,
15,3,
13,-1,
18,2,
17,3,
20,6,
20,5,
18,5,
20,6,
20,7,
18,1,
21,7,
25,12,
25,13,
25,13,
25,15,
25,15,
25,10,
26,13,
25,15,
25,15,
25,16,
25,13,
20,10,
20,8,
21,5,
23,11,
27,16,
27,15,
28,18,
27,15,
20,8,
21,5,
20,7,
25,10,
25,11,
21,10,
25,10,
18,12,
25,11,
27,15,
26,10,
16,8,
17,8,
20,11,
20,10,
20,10,
18,10,
20,10,
25,12,
27,15,
30,13,
28,12,
27,15,
21,13,
23,12,
25,10,
25,12,
25,12,
25,15,
25,13,
25,12,
23,7,
22,12,
27,15,
25,12,
25,11,
25,15,
23,13,
23,11,
21,10,
25,12,
23,11,
21,11,
17,10,
21,11,
23,10,
20,10,
18,10,
22,10,
25,13,
21,13,
26,15,
23,13,
25,13,
26,13,
27,15,
27,15,
26,13,
26,15,
23,11,
12,8,
11,8,
16,7,
10,6,
16,8,
22,11,
25,11,
25,12,
25,13,
27,15,
27,16,
26,13,
26,15,
25,16,
25,13,
23,12,
26,15,
26,15,
26,15,
25,15,
27,13,
25,15,
22,13,
25,15,
23,13,
23,15,
23,15,
15,11,
20,12,
27,13,
30,15,
30,20,
30,13,
25,13,
20,15,
27,15,
27,18,
28,18,
26,15,
25,15,
25,15,
23,15,
27,15,
25,15,
26,15,
